Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population,InterestSearch
Mauritius,,,,,,,1271169,
Maldives,,,,,,,527799,
Malawi,,,,,,,21655286,
Mozambique,,,,,,,34631766,
Namibia,,,,,,,3030131,
New Caledonia,,,,,,,292639,
Niger,,,,,,,27032412,
Norfolk Island,,,,,,,,
Russia,0,0,2234969,-63.14,2759153,4.88,144820423,15
Saudi Arabia,,,,,,,33962757,6
Singapore,301040,0.88,0,0,0,0,5832387,19
Slovakia,,,,,,,5506760,9
South Africa,,,,,,,64007187,8
Nauru,,,,,,,11947,
Niue,,,,,,,1819,
South Korea,0,0,13791422,-11.7,3996033,-2.61,51717590,23
Oman,,,,,,,5281538,
Spain,,,,,,,47910526,6
French Polynesia,,,,,,,281807,
Papua New Guinea,,,,,,,10576502,
Sri Lanka,,,,,,,23103565,43
Sweden,,,,,,,10606999,5
Saint Pierre and Miquelon,,,,,,,5628,
Pitcairn Islands,,,,,,,,
Puerto Rico,,,,,,,3242204,
Palestine,,,,,,,5495443,
Switzerland,,,,,,,8921981,4
Palau,,,,,,,17695,
Syria,,,,,,,24672760,22
Qatar,,,,,,,3048423,
Reunion,,,,,,,878591,
Taiwan,173208,1.81,0,0,1070356,10.93,23213962,25
Serbia,,,,,,,6736216,
Rwanda,,,,,,,14256567,
Tunisia,,,,,,,12277109,17
Solomon Islands,,,,,,,819198,
Seychelles,,,,,,,130418,
Sudan,,,,,,,50448963,
Turkey,113419,0.11,0,0,0,0,87473805,5
Saint Helena,,,,,,,,
Slovenia,,,,,,,2118697,
Svalbard and Jan Mayen,,,,,,,,
Turkmenistan,,,,,,,7494498,100
Sierra Leone,,,,,,,8642022,
San Marino,,,,,,,33581,
Senegal,,,,,,,18501984,
Somalia,,,,,,,19009151,
Suriname,,,,,,,634431,
South Sudan,,,,,,,11943408,
Sao Tome and Principe,,,,,,,235536,
Ukraine,0,0,0,0,951411,1.88,37860221,12
Sint Maarten,,,,,,,43350,
United Arab Emirates,,,,,,,11027129,11
Eswatini,,,,,,,1242822,
Turks and Caicos Islands,,,,,,,46535,
Chad,,,,,,,20299123,
French Southern Territories,,,,,,,,
Togo,,,,,,,9515236,
Tajikistan,,,,,,,10590927,
Tokelau,,,,,,,2506,
Timor-Leste,,,,,,,1400638,
United Kingdom,182067,-0.01,0,0,1117934,6.63,69138192,6
United States of America,614189,-0.15,17601990,-6.41,7397340,1.83,345426571,8
Tonga,,,,,,,104175,
Trinidad and Tobago,,,,,,,1507782,
Tuvalu,,,,,,,9646,
Tanzania,,,,,,,68560157,
Uganda,,,,,,,50015092,
U.S. Minor Outlying Islands,,,,,,,,
Uruguay,,,,,,,3386588,15
Uzbekistan,,,,,,,36361859,51
Vatican City,,,,,,,496,
Saint Vincent and the Grenadines,,,,,,,100616,
Venezuela,,,,,,,28405543,27
British Virgin Islands,,,,,,,39471,
United States Virgin Islands,,,,,,,84905,
Vanuatu,,,,,,,327777,
Wallis and Futuna,,,,,,,11277,
Samoa,,,,,,,218019,
Kosovo,,,,,,,,
Yemen,,,,,,,40583164,
Mayotte,,,,,,,326505,
Vietnam,242633,-0.92,0,0,1879108,12.72,100987686,11
Zambia,,,,,,,21314956,
Zimbabwe,,,,,,,16634373,
