Date,Facebook,Instagram,SoundCloud,Spotify,Twitter,YouTube
17/9/2021,14948257,49402534,3893604,38574154,39206413,58000000
24/9/2021,15000596,49807584,3906294,38870687,39448491,58400000
1/10/2021,15051308,50140585,3919669,39239856,39623320,58800000
8/10/2021,15083488,50412836,3925734,39445407,39847243,59100000
15/10/2021,15120627,50806065,3936037,39790156,40041355,59400000
22/10/2021,15145654,51049502,3944972,40172739,40208832,59700000
29/10/2021,15208216,51489698,3955506,40467535,40444913,60000000
5/11/2021,15243159,51724119,3966109,40725309,40647375,60300000
12/11/2021,15274869,52003966,3975087,41012783,40878015,60500000
19/11/2021,15304266,52289827,3983941,41362205,41154565,60800000
26/11/2021,15349435,52691740,3992985,41720281,41503427,61100000
3/12/2021,15387628,53106016,4002610,42072321,41824500,61300000
10/12/2021,15417608,56473458,4018903,42440873,42100746,61700000
17/12/2021,15436341,57177821,4030365,42778138,42370254,61900000
24/12/2021,15454989,57623662,4046312,43086117,42643279,62200000
31/12/2022,15470714,58051465,4064772,43447009,42939771,62500000
7/1/2022,15486276,58457099,4079341,43789531,43165422,62800000
14/1/2022,15493704,58756876,4092056,44184460,43354070,63000000
21/1/2022,15505915,59032117,4102264,44542535,43540207,63200000
28/1/2022,15519795,59315284,4111621,44882050,43685507,63400000
4/2/2022,15532323,59571390,4119715,45227508,43828540,63600000
11/2/2022,15544264,59814504,4128290,45443756,43958238,63800000
18/2/2022,15557479,60029229,4136389,45803119,44094988,64000000
25/2/2022,15575010,60238697,4142838,46064527,44220858,64100000
4/3/2022,15753481,60515162,4153720,46314717,44359414,64300000
11/3/2022,15819545,60802773,4165402,46648473,44562677,64500000
18/3/2022,15885748,61206087,4172234,46970194,44733045,64700000
25/3/2022,15951732,61497154,4179816,47268271,44875169,64900000
1/4/2022,15984623,61792035,4186234,47558383,45025485,65000000
8/4/2022,16027909,62205125,4193899,47826038,45263097,65200000
15/4/2022,16068301,62536207,4200624,48125424,45392300,65400000
22/4/2022,16128677,62590159,4208288,48423505,45505737,65600000
29/4/2022,16167977,62644111,4214938,48735330,45596886,65800000
