Date,platforms,number_of_fans
2023-10-27,Facebook,17798958
2023-11-03,Facebook,17802623
2023-11-10,Facebook,17806741
2023-11-17,Facebook,17818275
2023-11-24,Facebook,17857367
2023-12-01,Facebook,17876710
2023-12-08,Facebook,17885748
2023-12-15,Facebook,17915699
2023-12-22,Facebook,17917958
2023-12-29,Facebook,17933766
2024-01-05,Facebook,17940456
2024-01-12,Facebook,17947147
2024-01-19,Facebook,17953738
2024-01-26,Facebook,17964158
2024-02-02,Facebook,17975102
2024-02-09,Facebook,17979738
2024-02-16,Facebook,17984326
2024-02-23,Facebook,17993268
2024-03-01,Facebook,17998406
2024-03-08,Facebook,18002928
2024-03-15,Facebook,18008118
2024-03-22,Facebook,18014430
2024-03-29,Facebook,18022903
2024-04-05,Facebook,18026367
2024-04-12,Facebook,18036027
2024-04-19,Facebook,18041747
2024-04-26,Facebook,18049349
2024-05-03,Facebook,18057157
2024-05-10,Facebook,18062978
2024-05-17,Facebook,18067664
2024-05-24,Facebook,18073002
2024-05-31,Facebook,18076983
2024-06-07,Facebook,18085698
2024-06-14,Facebook,18103559
2024-06-21,Facebook,18119472
2024-06-28,Facebook,18127554
2024-07-05,Facebook,18129994
2024-07-12,Facebook,18136614
2024-07-19,Facebook,18141345
2024-07-26,Facebook,18146339
2024-08-02,Facebook,18152270
2024-08-09,Facebook,18162439
2024-08-16,Facebook,18168571
2024-08-23,Facebook,18171113
2024-08-30,Facebook,18177153
2020-01-03,Instagram,21827724
2020-01-10,Instagram,21918352
2020-01-17,Instagram,21986792
2020-01-24,Instagram,22008649
2020-01-31,Instagram,22216408
2020-02-07,Instagram,22437874
2020-02-14,Instagram,22617584
2020-02-21,Instagram,22828944
2020-02-28,Instagram,23065350
2020-03-06,Instagram,23261657
2020-03-13,Instagram,23447122
2020-03-20,Instagram,23630419
2020-03-27,Instagram,23839069
2020-04-03,Instagram,24054091
2020-04-10,Instagram,24252410
2020-04-17,Instagram,24512462
2020-04-24,Instagram,24748648
2020-05-01,Instagram,24966386
2020-05-08,Instagram,25195140
2020-05-15,Instagram,25307240
2020-05-22,Instagram,25504167
2020-05-29,Instagram,25600102
2020-06-05,Instagram,25791278
2020-06-12,Instagram,25997799
2020-06-19,Instagram,26273787
2020-06-26,Instagram,26455632
2020-07-03,Instagram,26666214
2020-07-10,Instagram,26880920
2020-07-17,Instagram,27141615
2020-07-24,Instagram,27368276
2020-07-31,Instagram,27605508
2020-08-07,Instagram,27813088
2020-08-14,Instagram,28150530
2020-08-21,Instagram,28477293
2020-08-28,Instagram,28944411
2020-09-04,Instagram,29438112
2020-09-11,Instagram,29804908
2020-09-18,Instagram,30197395
2020-09-25,Instagram,30585381
2020-10-02,Instagram,30948701
2020-10-09,Instagram,31254346
2020-10-16,Instagram,31639705
2020-10-23,Instagram,32031685
2020-10-30,Instagram,32414479
2020-11-06,Instagram,32719190
2020-11-13,Instagram,33109883
2020-11-20,Instagram,33478464
2020-11-27,Instagram,33939549
2020-12-04,Instagram,34342899
2020-12-11,Instagram,34674024
2020-12-18,Instagram,34982488
2020-12-25,Instagram,35272241
2021-01-01,Instagram,35844077
2021-01-08,Instagram,35980627
2021-01-15,Instagram,36282444
2021-01-22,Instagram,36510468
2021-01-29,Instagram,36764882
2021-02-05,Instagram,37038990
2021-02-12,Instagram,37322622
2021-02-19,Instagram,37580434
2021-02-26,Instagram,37856658
2021-03-05,Instagram,38129708
2021-03-12,Instagram,38442687
2021-03-19,Instagram,38813898
2021-03-26,Instagram,39116781
2021-04-02,Instagram,39587243
2021-04-09,Instagram,39722627
2021-04-16,Instagram,40146004
2021-04-23,Instagram,40318168
2021-04-30,Instagram,40744986
2021-05-07,Instagram,40916962
2021-05-14,Instagram,41268869
2021-05-21,Instagram,41738579
2021-05-28,Instagram,42333727
2021-06-04,Instagram,42903506
2021-06-11,Instagram,43370305
2021-06-18,Instagram,43888504
2021-06-25,Instagram,44335650
2021-07-02,Instagram,44793749
2021-07-09,Instagram,45464234
2021-07-16,Instagram,45959476
2021-07-23,Instagram,46282671
2021-07-30,Instagram,46748825
2021-08-06,Instagram,47153606
2021-08-13,Instagram,47573415
2021-08-20,Instagram,47908016
2021-08-27,Instagram,48346383
2021-09-03,Instagram,48761537
2021-09-10,Instagram,49092813
2021-09-17,Instagram,49402534
2021-09-24,Instagram,49807584
2021-10-01,Instagram,50140585
2021-10-08,Instagram,50412836
2021-10-15,Instagram,50806065
2021-10-22,Instagram,51049502
2021-10-29,Instagram,51489698
2021-11-05,Instagram,51724119
2021-11-12,Instagram,52003966
2021-11-19,Instagram,52289827
