Date,platforms,number_of_fans
2022-01-14,Spotify,44184460
2022-01-21,Spotify,44542535
2022-01-28,Spotify,44882050
2022-02-04,Spotify,45227508
2022-02-11,Spotify,45443756
2022-02-18,Spotify,45803119
2022-02-25,Spotify,46064527
2022-03-04,Spotify,46314717
2022-03-11,Spotify,46648473
2022-03-18,Spotify,46970194
2022-03-25,Spotify,47268271
2022-04-01,Spotify,47558383
2022-04-08,Spotify,47826038
2022-04-15,Spotify,48125424
2022-04-22,Spotify,48423505
2022-04-29,Spotify,48735330
2022-05-06,Spotify,49057821
2022-05-13,Spotify,49371906
2022-05-20,Spotify,49654519
2022-05-27,Spotify,49899808
2022-06-03,Spotify,50139858
2022-06-10,Spotify,50442446
2022-06-17,Spotify,50895817
2022-06-24,Spotify,51216191
2022-07-01,Spotify,51556758
2022-07-08,Spotify,51893211
2022-07-15,Spotify,52210174
2022-07-22,Spotify,52518665
2022-07-29,Spotify,52807393
2022-08-05,Spotify,53103454
2022-08-12,Spotify,53413967
2022-08-19,Spotify,53728637
2022-08-26,Spotify,54051854
2022-09-02,Spotify,54237932
2022-09-09,Spotify,54036284
2022-09-16,Spotify,54366291
2022-09-23,Spotify,54705236
2022-09-30,Spotify,55023095
2022-10-07,Spotify,55354960
2022-10-14,Spotify,55660138
2022-10-21,Spotify,55976164
2022-10-28,Spotify,56323912
2022-11-04,Spotify,56639404
2022-11-11,Spotify,56932158
2022-11-18,Spotify,57234440
2022-11-25,Spotify,57662927
2022-12-02,Spotify,57997091
2022-12-09,Spotify,58362309
2022-12-16,Spotify,58670872
2022-12-23,Spotify,58984121
2022-12-30,Spotify,59349258
2023-01-06,Spotify,59664187
2023-01-13,Spotify,59954414
2023-01-20,Spotify,60250570
2023-01-27,Spotify,60527324
2023-02-03,Spotify,60814647
2023-02-10,Spotify,61085043
2023-02-17,Spotify,61331608
2023-02-24,Spotify,61583564
2023-03-03,Spotify,61843986
2023-03-10,Spotify,62119901
2023-03-17,Spotify,62396049
2023-03-24,Spotify,62682241
2023-03-31,Spotify,62943385
2023-04-07,Spotify,63215628
2023-04-14,Spotify,63469772
2023-04-21,Spotify,63730710
2023-04-28,Spotify,64016191
2023-05-05,Spotify,64287165
2023-05-12,Spotify,64558430
2023-05-19,Spotify,64870812
2023-05-26,Spotify,65155985
2023-06-02,Spotify,65443321
2023-06-09,Spotify,65730259
2023-06-16,Spotify,66059652
2023-06-23,Spotify,66328906
2023-06-30,Spotify,66549885
2023-07-07,Spotify,66861137
2023-07-14,Spotify,67146496
2023-07-21,Spotify,67432958
2023-07-28,Spotify,67679154
2023-08-04,Spotify,67917672
2023-08-11,Spotify,68164637
2023-08-18,Spotify,68437034
2023-08-25,Spotify,68681969
2023-09-01,Spotify,68928005
2023-09-08,Spotify,69362432
2023-09-15,Spotify,69461436
2023-09-22,Spotify,69709133
2023-09-29,Spotify,69975743
2023-10-06,Spotify,70219985
2023-10-13,Spotify,70399578
2023-10-20,Spotify,70601693
2023-10-27,Spotify,70356205
2023-11-03,Spotify,70545224
2023-11-10,Spotify,70761574
2023-11-17,Spotify,70960278
2023-11-24,Spotify,71151393
2023-12-01,Spotify,71342884
2023-12-08,Spotify,71559765
2023-12-15,Spotify,71744332
2023-12-22,Spotify,71547300
2023-12-29,Spotify,71508152
2024-01-05,Spotify,71573325
2024-01-12,Spotify,71628556
2024-01-19,Spotify,71694625
2024-01-26,Spotify,71756204
2024-02-02,Spotify,71824025
2024-02-09,Spotify,71570062
2024-02-16,Spotify,71229306
2024-02-23,Spotify,71329931
2024-03-01,Spotify,71454473
2024-03-08,Spotify,71593234
2024-03-15,Spotify,71752934
2024-03-22,Spotify,71914630
2024-03-29,Spotify,72183107
2024-04-05,Spotify,72351820
2024-04-12,Spotify,72498170
2024-04-19,Spotify,72468727
2024-04-26,Spotify,72639028
2024-05-03,Spotify,72717420
2024-05-10,Spotify,72824342
2024-05-17,Spotify,72908203
2024-05-24,Spotify,73098827
2024-05-31,Spotify,73165633
2024-06-07,Spotify,73312725
2024-06-14,Spotify,73473032
2024-06-21,Spotify,73621186
2024-06-28,Spotify,73793743
2024-07-05,Spotify,73954474
2024-07-12,Spotify,74099708
2024-07-19,Spotify,74261302
2024-07-26,Spotify,74355631
2024-08-02,Spotify,74460479
2024-08-09,Spotify,74687691
2024-08-16,Spotify,74899859
2024-08-23,Spotify,75165615
2024-08-30,Spotify,75328072
2020-01-03,Twitter,23363379
2020-01-10,Twitter,23491571
2020-01-17,Twitter,23595524
2020-01-24,Twitter,23698147
2020-01-31,Twitter,23801737
2020-02-07,Twitter,23900132
2020-02-14,Twitter,23984368
2020-02-21,Twitter,24063828
2020-02-28,Twitter,24186007
2020-03-06,Twitter,24304760
2020-03-13,Twitter,24427091
2020-03-20,Twitter,24484691
2020-03-27,Twitter,24603682
2020-04-03,Twitter,24717891
2020-04-10,Twitter,24861431
2020-04-17,Twitter,25014712
2020-04-24,Twitter,25175519
2020-05-01,Twitter,25328396
2020-05-08,Twitter,25523965
2020-05-15,Twitter,25673211
2020-05-22,Twitter,25863611
2020-05-29,Twitter,26025287
2020-06-05,Twitter,26223711
2020-06-12,Twitter,26387177
2020-06-19,Twitter,26562860
2020-06-26,Twitter,26695866
2020-07-03,Twitter,26862323
2020-07-10,Twitter,27034138
2020-07-17,Twitter,27188858
2020-07-24,Twitter,27333780
2020-07-31,Twitter,27548441
2020-08-07,Twitter,27731534
2020-08-14,Twitter,27931119
2020-08-21,Twitter,28167208
2020-08-28,Twitter,28380257
2020-09-04,Twitter,28639920
2020-09-11,Twitter,28824315
2020-09-18,Twitter,29047821
2020-09-25,Twitter,29259612
2020-10-02,Twitter,29444174
2020-10-09,Twitter,29659726
2020-10-16,Twitter,29972203
2020-10-23,Twitter,30155400
2020-10-30,Twitter,30295981
2020-11-06,Twitter,30441336
2020-11-13,Twitter,30617419
2020-11-20,Twitter,30790891
2020-11-27,Twitter,31010682
2020-12-04,Twitter,31191856
2020-12-11,Twitter,31305287
2020-12-18,Twitter,31446080
2020-12-25,Twitter,31580994
2021-01-01,Twitter,31820156
2021-01-08,Twitter,32016974
2021-01-15,Twitter,32182930
2021-01-22,Twitter,32327155
2021-01-29,Twitter,32520152
2021-02-05,Twitter,32683545
2021-02-12,Twitter,32832059
2021-02-19,Twitter,32980564
2021-02-26,Twitter,33181887
2021-03-05,Twitter,33352076
2021-03-12,Twitter,33531693
2021-03-19,Twitter,33783233
2021-03-26,Twitter,33922280
2021-04-02,Twitter,34120438
2021-04-09,Twitter,34288111
2021-04-16,Twitter,34481111
2021-04-23,Twitter,34676073
2021-04-30,Twitter,34846054
2021-05-07,Twitter,35024522
2021-05-14,Twitter,35302621
2021-05-21,Twitter,35492848
2021-05-28,Twitter,35770239
2021-06-04,Twitter,36027777
2021-06-11,Twitter,36245280
2021-06-18,Twitter,36595533
2021-06-25,Twitter,36780259
2021-07-02,Twitter,36982269
2021-07-09,Twitter,37321276
2021-07-16,Twitter,37509043
2021-07-23,Twitter,37709026
2021-07-30,Twitter,37892481
2021-08-06,Twitter,38089205
2021-08-13,Twitter,38238827
2021-08-20,Twitter,38394959
2021-08-27,Twitter,38557398
2021-09-03,Twitter,38829232
2021-09-10,Twitter,38987625
2021-09-17,Twitter,39206413
2021-09-24,Twitter,39448491
2021-10-01,Twitter,39623320
2021-10-08,Twitter,39847243
2021-10-15,Twitter,40041355
2021-10-22,Twitter,40208832
2021-10-29,Twitter,40444913
2021-11-05,Twitter,40647375
2021-11-12,Twitter,40878015
2021-11-19,Twitter,41154565
2021-11-26,Twitter,41503427
2021-12-03,Twitter,41824500
2021-12-10,Twitter,42100746
2021-12-17,Twitter,42370254
2021-12-24,Twitter,42643279
2022-12-31,Twitter,42939771
2022-01-07,Twitter,43165422
2022-01-14,Twitter,43354070
2022-01-21,Twitter,43540207
2022-01-28,Twitter,43685507
2022-02-04,Twitter,43828540
2022-02-11,Twitter,43958238
2022-02-18,Twitter,44094988
2022-02-25,Twitter,44220858
2022-03-04,Twitter,44359414
2022-03-11,Twitter,44562677
2022-03-18,Twitter,44733045
2022-03-25,Twitter,44875169
2022-04-01,Twitter,45025485
2022-04-08,Twitter,45263097
2022-04-15,Twitter,45392300
2022-04-22,Twitter,45505737
2022-04-29,Twitter,45596886
2022-05-06,Twitter,45697568
2022-05-13,Twitter,45857325
2022-05-20,Twitter,45976267
2022-05-27,Twitter,46068641
2022-06-03,Twitter,46164613
2022-06-10,Twitter,46247386
2022-06-17,Twitter,46383112
2022-06-24,Twitter,46461638
2022-07-01,Twitter,46539920
2022-07-08,Twitter,46618552
2022-07-15,Twitter,46708520
2022-07-22,Twitter,46787515
2022-07-29,Twitter,46871070
2022-08-05,Twitter,46957432
2022-08-12,Twitter,47055322
2022-08-19,Twitter,47116506
2022-08-26,Twitter,47162250
2022-09-02,Twitter,47261226
2022-09-09,Twitter,47338736
2022-09-16,Twitter,47401244
2022-09-23,Twitter,47470010
2022-09-30,Twitter,47518184
2022-10-07,Twitter,47550455
2022-10-14,Twitter,47601900
2022-10-21,Twitter,47688136
2022-10-28,Twitter,47733236
2022-11-04,Twitter,47778378
2022-11-11,Twitter,47808045
2022-11-18,Twitter,47822673
2022-11-25,Twitter,47864937
2022-12-02,Twitter,47874325
2022-12-09,Twitter,47910826
2022-12-16,Twitter,47983622
2022-12-23,Twitter,47994931
2022-12-30,Twitter,48029104
2023-01-06,Twitter,48064876
2023-01-13,Twitter,48086156
2023-01-20,Twitter,48111010
2023-01-27,Twitter,48259942
2023-02-03,Twitter,48154513
2023-02-10,Twitter,48170055
2023-02-17,Twitter,48190735
2023-02-24,Twitter,48195780
2023-03-03,Twitter,48212059
2023-03-10,Twitter,48232231
2023-03-17,Twitter,48246257
2023-03-24,Twitter,48246430
2023-03-31,Twitter,48271836
2023-04-07,Twitter,48277554
2023-04-14,Twitter,48286831
2023-04-21,Twitter,48328285
2023-04-28,Twitter,48362708
2023-05-05,Twitter,48386133
2023-05-12,Twitter,48401269
2023-05-19,Twitter,48418088
2023-05-26,Twitter,48436923
2023-06-02,Twitter,48442845
2023-06-09,Twitter,48446474
2023-06-16,Twitter,48465334
2023-06-23,Twitter,48474834
2023-06-30,Twitter,48479701
2023-07-07,Twitter,48497384
2023-07-14,Twitter,48500524
2023-07-21,Twitter,48502008
2023-07-28,Twitter,48503492
2023-08-04,Twitter,48504976
2023-08-11,Twitter,48506460
2023-08-18,Twitter,48507944
2023-08-25,Twitter,48509428
2023-09-01,Twitter,48510912
2023-09-08,Twitter,48512396
2023-09-15,Twitter,48513880
2023-09-22,Twitter,48595494
2023-09-29,Twitter,48595628
2023-10-06,Twitter,48593688
2023-10-13,Twitter,48596919
2023-10-20,Twitter,48598381
2023-10-27,Twitter,48577006
2023-11-03,Twitter,48576157
2023-11-10,Twitter,48570212
2023-11-17,Twitter,48568460
2023-11-24,Twitter,48572378
2023-12-01,Twitter,48575837
2023-12-08,Twitter,48581627
2023-12-15,Twitter,48614977
2023-12-22,Twitter,48620130
2023-12-29,Twitter,48622158
2024-01-05,Twitter,48616572
2024-01-12,Twitter,48615330
2024-01-19,Twitter,48615199
2024-01-26,Twitter,48623367
2024-02-02,Twitter,48613693
2024-02-09,Twitter,48616962
2024-02-16,Twitter,48608799
2024-02-23,Twitter,48594998
2024-03-01,Twitter,48589809
2024-03-08,Twitter,48572955
2024-03-15,Twitter,48563881
2024-03-22,Twitter,48554686
2024-03-29,Twitter,48530752
2024-04-05,Twitter,48521373
2024-04-12,Twitter,48506874
2024-04-19,Twitter,48544918
2024-04-26,Twitter,48537108
2024-05-03,Twitter,48530420
2024-05-10,Twitter,48546878
2024-05-17,Twitter,48536189
2024-05-24,Twitter,48525260
2024-05-31,Twitter,48516525
2024-06-07,Twitter,48492268
2024-06-14,Twitter,48548605
2024-06-21,Twitter,48565364
2024-06-28,Twitter,48585406
2024-07-05,Twitter,48596146
2024-07-12,Twitter,48609023
2024-07-19,Twitter,48618480
2024-07-26,Twitter,48618017
2024-08-02,Twitter,48615623
2024-08-09,Twitter,48616849
2024-08-16,Twitter,48613022
2024-08-23,Twitter,48608011
2024-08-30,Twitter,48611471
2020-01-03,YouTube,24400000
2020-01-10,YouTube,24600000
2020-01-17,YouTube,24700000
2020-01-24,YouTube,24900000
2020-01-31,YouTube,25000000
2020-02-07,YouTube,25200000
2020-02-14,YouTube,25400000
2020-02-21,YouTube,25500000
2020-02-28,YouTube,25900000
2020-03-06,YouTube,26200000
2020-03-13,YouTube,26400000
2020-03-20,YouTube,26500000
2020-03-27,YouTube,26700000
2020-04-03,YouTube,26900000
2020-04-10,YouTube,27100000
2020-04-17,YouTube,27600000
2020-04-24,YouTube,28700000
2020-05-01,YouTube,28800000
2020-05-08,YouTube,29000000
2020-05-15,YouTube,29300000
2020-05-22,YouTube,29600000
2020-05-29,YouTube,29800000
2020-06-05,YouTube,30200000
2020-06-12,YouTube,30800000
2020-06-19,YouTube,31300000
2020-06-26,YouTube,31700000
2020-07-03,YouTube,32100000
2020-07-10,YouTube,32400000
2020-07-17,YouTube,32700000
2020-07-24,YouTube,33000000
2020-07-31,YouTube,33300000
2020-08-07,YouTube,33600000
2020-08-14,YouTube,34000000
2020-08-21,YouTube,34500000
2020-08-28,YouTube,35300000
2020-09-04,YouTube,35800000
2020-09-11,YouTube,36200000
2020-09-18,YouTube,36600000
2020-09-25,YouTube,37100000
2020-10-02,YouTube,37600000
2020-10-09,YouTube,38100000
2020-10-16,YouTube,38500000
2020-10-23,YouTube,39000000
2020-10-30,YouTube,39300000
2020-11-06,YouTube,39600000
2020-11-13,YouTube,40000000
2020-11-20,YouTube,40400000
2020-11-27,YouTube,41100000
2020-12-04,YouTube,41500000
2020-12-11,YouTube,41900000
2020-12-18,YouTube,42200000
2020-12-25,YouTube,42500000
2021-01-01,YouTube,42900000
2021-01-08,YouTube,43200000
2021-01-15,YouTube,43400000
2021-01-22,YouTube,43800000
2021-01-29,YouTube,44100000
2021-02-05,YouTube,44400000
2021-02-12,YouTube,44700000
2021-02-19,YouTube,45000000
2021-02-26,YouTube,45300000
2021-03-05,YouTube,45700000
2021-03-12,YouTube,46000000
2021-03-19,YouTube,46400000
2021-03-26,YouTube,46600000
2021-04-02,YouTube,46900000
2021-04-09,YouTube,47200000
2021-04-16,YouTube,47700000
2021-04-23,YouTube,48500000
2021-04-30,YouTube,48900000
2021-05-07,YouTube,49200000
2021-05-14,YouTube,49400000
2021-05-21,YouTube,49800000
2021-05-28,YouTube,50700000
2021-06-04,YouTube,51200000
2021-06-11,YouTube,51700000
2021-06-18,YouTube,52100000
2021-06-25,YouTube,52500000
2021-07-02,YouTube,52900000
2021-07-09,YouTube,53300000
2021-07-16,YouTube,54000000
2021-07-23,YouTube,54400000
2021-07-30,YouTube,55300000
2021-08-06,YouTube,55900000
2021-08-13,YouTube,56200000
2021-08-20,YouTube,56500000
2021-08-27,YouTube,56800000
2021-09-03,YouTube,57200000
2021-09-10,YouTube,57600000
2021-09-17,YouTube,58000000
2021-09-24,YouTube,58400000
2021-10-01,YouTube,58800000
2021-10-08,YouTube,59100000
2021-10-15,YouTube,59400000
2021-10-22,YouTube,59700000
2021-10-29,YouTube,60000000
2021-11-05,YouTube,60300000
2021-11-12,YouTube,60500000
2021-11-19,YouTube,60800000
2021-11-26,YouTube,61100000
2021-12-03,YouTube,61300000
2021-12-10,YouTube,61700000
2021-12-17,YouTube,61900000
2021-12-24,YouTube,62200000
2022-12-31,YouTube,62500000
2022-01-07,YouTube,62800000
2022-01-14,YouTube,63000000
2022-01-21,YouTube,63200000
2022-01-28,YouTube,63400000
2022-02-04,YouTube,63600000
2022-02-11,YouTube,63800000
2022-02-18,YouTube,64000000
2022-02-25,YouTube,64100000
2022-03-04,YouTube,64300000
2022-03-11,YouTube,64500000
2022-03-18,YouTube,64700000
2022-03-25,YouTube,64900000
2022-04-01,YouTube,65000000
2022-04-08,YouTube,65200000
2022-04-15,YouTube,65400000
2022-04-22,YouTube,65600000
2022-04-29,YouTube,65800000
2022-05-06,YouTube,66000000
2022-05-13,YouTube,66200000
2022-05-20,YouTube,66400000
2022-05-27,YouTube,66500000
2022-06-03,YouTube,66700000
2022-06-10,YouTube,67100000
2022-06-17,YouTube,68000000
2022-06-24,YouTube,68500000
2022-07-01,YouTube,68800000
2022-07-08,YouTube,69200000
2022-07-15,YouTube,69400000
2022-07-22,YouTube,69600000
2022-07-29,YouTube,69700000
2022-08-05,YouTube,69900000
2022-08-12,YouTube,70000000
2022-08-19,YouTube,70200000
2022-08-26,YouTube,70400000
2022-09-02,YouTube,70500000
2022-09-09,YouTube,70600000
2022-09-16,YouTube,70700000
2022-09-23,YouTube,70800000
2022-09-30,YouTube,70900000
2022-10-07,YouTube,71000000
2022-10-14,YouTube,71100000
2022-10-21,YouTube,71300000
2022-10-28,YouTube,71400000
2022-11-04,YouTube,71500000
2022-11-11,YouTube,71600000
2022-11-18,YouTube,71800000
2022-11-25,YouTube,72000000
2022-12-02,YouTube,72200000
2022-12-09,YouTube,72400000
2022-12-16,YouTube,72500000
2022-12-23,YouTube,72600000
2022-12-30,YouTube,72800000
2023-01-06,YouTube,73000000
2023-01-13,YouTube,73100000
2023-01-20,YouTube,73200000
2023-01-27,YouTube,73300000
2023-02-03,YouTube,73400000
2023-02-10,YouTube,73500000
2023-02-17,YouTube,73600000
2023-02-24,YouTube,73700000
2023-03-03,YouTube,73800000
2023-03-10,YouTube,73800000
2023-03-17,YouTube,73900000
2023-03-24,YouTube,74000000
2023-03-31,YouTube,74100000
2023-04-07,YouTube,74200000
2023-04-14,YouTube,74300000
2023-04-21,YouTube,74400000
2023-04-28,YouTube,74500000
2023-05-05,YouTube,74600000
2023-05-12,YouTube,74700000
2023-05-19,YouTube,74700000
2023-05-26,YouTube,74800000
2023-06-02,YouTube,74900000
2023-06-09,YouTube,75000000
2023-06-16,YouTube,75300000
2023-06-23,YouTube,75400000
2023-06-30,YouTube,75500000
2023-07-07,YouTube,75500000
2023-07-14,YouTube,75600000
2023-07-21,YouTube,75800000
2023-07-28,YouTube,75900000
2023-08-04,YouTube,76000000
2023-08-11,YouTube,76100000
2023-08-18,YouTube,76100000
2023-08-25,YouTube,76200000
2023-09-01,YouTube,76200000
2023-09-08,YouTube,76300000
2023-09-15,YouTube,76400000
2023-09-22,YouTube,76400000
2023-09-29,YouTube,76500000
2023-10-06,YouTube,76500000
2023-10-13,YouTube,76600000
2023-10-20,YouTube,76600000
2023-10-27,YouTube,76700000
2023-11-03,YouTube,76700000
2023-11-10,YouTube,76800000
2023-11-17,YouTube,76800000
2023-11-24,YouTube,76900000
2023-12-01,YouTube,76900000
2023-12-08,YouTube,77000000
2023-12-15,YouTube,77000000
2023-12-22,YouTube,77100000
2023-12-29,YouTube,77100000
2024-01-05,YouTube,77200000
2024-01-12,YouTube,77200000
2024-01-19,YouTube,77300000
2024-01-26,YouTube,77300000
2024-02-02,YouTube,77400000
2024-02-09,YouTube,77400000
2024-02-16,YouTube,77400000
2024-02-23,YouTube,77500000
2024-03-01,YouTube,77500000
2024-03-08,YouTube,77500000
2024-03-15,YouTube,77600000
2024-03-22,YouTube,77600000
2024-03-29,YouTube,77700000
2024-04-05,YouTube,77700000
2024-04-12,YouTube,77800000
2024-04-19,YouTube,77800000
2024-04-26,YouTube,77800000
2024-05-03,YouTube,77900000
2024-05-10,YouTube,77900000
2024-05-17,YouTube,78000000
2024-05-24,YouTube,78000000
2024-05-31,YouTube,78100000
2024-06-07,YouTube,78200000
2024-06-14,YouTube,78300000
2024-06-21,YouTube,78400000
2024-06-28,YouTube,78400000
2024-07-05,YouTube,78500000
2024-07-12,YouTube,78500000
2024-07-19,YouTube,78600000
2024-07-26,YouTube,78600000
2024-08-02,YouTube,78700000
2024-08-09,YouTube,78700000
2024-08-16,YouTube,78800000
2024-08-23,YouTube,78800000
2024-08-30,YouTube,78850000
